moteid,mae,rmse,best_changepoint_prior_scale,best_n_changepoints,best_changepoint_range,best_seasonality_prior_scale,best_seasonality_mode
1,71.90062585164874,72.34942002566353,0.01,25,0.9,5.0,additive
2,7.844687890153527,8.941708066368781,0.5,50,0.98,10.0,additive
3,73.23920454403196,76.34349478300028,0.5,50,0.98,10.0,additive
4,6.419259181198295,7.152536338529359,0.5,50,0.98,10.0,additive
6,89.36723988050947,93.31802632761703,0.1,25,0.95,5.0,additive
7,1.9720717577612905,2.3108837046622335,0.5,50,0.98,10.0,additive
9,32.490769675308606,39.28590706141995,0.5,50,0.98,10.0,additive
10,1.2063000325022823,1.551471674654257,0.1,25,0.95,5.0,additive
11,18.9127436245693,21.23102239172036,0.5,50,0.98,10.0,additive
12,75.87692570620622,86.63477596627105,0.01,25,0.9,5.0,additive
13,73.47882866669269,74.25920740225541,0.01,25,0.9,5.0,additive
14,93.11218015460413,93.32939749355718,0.01,25,0.9,5.0,additive
16,31.77664824710169,36.03095521452716,1.0,50,0.98,10.0,multiplicative
17,17.07173630677243,21.588578656917438,1.0,50,0.98,10.0,multiplicative
18,54.770056101868555,63.54769790853722,1.0,50,0.98,10.0,multiplicative
19,76.27224616713346,80.62753906527487,1.0,50,0.98,10.0,multiplicative
21,13.964743778254913,16.06840784397896,0.5,50,0.98,10.0,additive
22,33.97315243828096,39.835748045582605,1.0,50,0.98,10.0,multiplicative
23,9.179532535936048,26.89540366916276,0.1,25,0.95,5.0,additive
24,4.372783282126497,5.449409553072322,0.1,25,0.95,5.0,additive
25,16.54412402739459,21.698844226502576,0.5,50,0.98,10.0,additive
26,5.86569200595622,7.800387340660806,0.5,50,0.98,10.0,additive
27,4.235581283128936,4.955295042862872,0.5,50,0.98,10.0,additive
29,27.81621412036726,31.986654924139284,0.5,50,0.98,10.0,additive
30,2.259089418339726,2.6129932610200646,0.5,50,0.98,10.0,additive
31,61.04041421965607,63.46426705326662,0.5,50,0.98,10.0,additive
32,89.27194089799272,93.52257488623702,0.5,50,0.98,10.0,additive
33,16.8630836067551,19.42638468032567,0.5,50,0.98,10.0,additive
34,4.302309395278309,13.179626205289349,0.5,50,0.98,10.0,additive
35,63.25020277560762,76.68133649001142,0.1,25,0.95,5.0,additive
36,1.802731112669278,2.2581957542714894,0.5,50,0.98,10.0,additive
37,1.664550658308553,2.0621804277531135,0.5,50,0.98,10.0,additive
38,11.162308887359398,12.199546422818493,0.5,50,0.98,10.0,additive
39,41.68132517919819,47.949102168234454,0.5,50,0.98,10.0,additive
40,5.066887629491991,5.900753164876519,0.5,50,0.98,10.0,additive
41,71.4220175683524,77.35238050117484,1.0,50,0.98,10.0,multiplicative
42,1.926061979349394,2.3300637885736517,0.5,50,0.98,10.0,additive
43,3.8853589660326824,4.530445829557887,0.5,50,0.98,10.0,additive
44,32.124425311404444,37.882351658611555,0.1,25,0.95,5.0,additive
45,2.6422088665572288,4.067228810253696,0.01,25,0.9,5.0,additive
46,57.28923611351359,58.39660357363877,0.01,25,0.9,5.0,additive
47,87.38336180851317,93.0218355932282,0.01,25,0.9,5.0,additive
48,78.14906604242722,81.63167590012317,1.0,50,0.98,10.0,multiplicative
49,83.99387639779727,86.3865052749552,0.5,50,0.98,10.0,additive
51,15.774502768904654,18.26826986677612,0.5,50,0.98,10.0,additive
52,9.71044813458476,10.792889757458685,0.5,50,0.98,10.0,additive
53,35.129752485174755,42.32507457698818,0.5,50,0.98,10.0,additive
54,57.98561588554365,66.14685446117313,0.5,50,0.98,10.0,additive
